Link,Name
http://www.teknokentkutahya.com/,Kütahya Dumlupınar Tasarım Teknoloji Geliştirme Bölgesi
http://www.malatyateknokent.com.tr/,Malatya Teknoloji Geliştirme Bölgesi
www.marmaratek.com.tr,Marmara ÜniversitesiTeknoloji Geliştirme Bölgesi
#,Mehmet Akif Ersoy Üniversitesi MAKÜ BAKA Teknoloji Geliştirme Bölgesi
#,Mersin Tarım ve Gıda İhtisas Teknoloji Geliştirme Bölgesi
http://www.technoscope.com.tr/,Mersin Teknoloji Geliştirme Bölgesi
#,Muallimköy Teknoloji Geliştirme Bölgesi
#,Muğla  Teknoloji Geliştirme Bölgesi
http://www.nkuteknopark.com,Namık Kemal Üniversitesi Teknoloji Geliştirme Bölgesi
http://www.nigdeteknopark.com,Niğde Ömer Halisdemir Üniversitesi Teknoloji Geliştirme Bölgesi  
http://odtuteknokent.com.tr/tr,ODTÜ Teknokent Teknoloji Geliştirme Bölgesi
#,Osmaniye Teknoloji Geliştirme Bölgesi
www.ostimteknopark.com.tr,Ostim Ekopark Teknoloji Geliştirme Bölgesi
http://pauteknokent.com.tr/,Pamukkale Üniversitesi Teknoloji Geliştirme Bölgesi
#,Sağlık Bilimleri Üniversitesi Teknoloji Geliştirme Bölgesi Sağlık Teknokenti
http://www.sakaryateknokent.com/,Sakarya Üniversitesi Teknoloji Geliştirme Bölgesi
http://www.samsunteknopark.com/,Samsun Teknoloji Geliştirme Bölgesi
http://www.konyateknokent.com.tr/,Selçuk Üniversitesi Teknoloji Geliştirme Bölgesi
#,TeknoHAB Teknoloji Geliştirme Bölgesi
http://www.tokatteknopark.com/tr/,Tokat Teknoloji Geliştirme Bölgesi
http://www.trabzonteknokent.com.tr/,Trabzon Teknoloji Geliştirme Bölgesi
http://trakyateknopark.com.tr/,Trakya Üniversitesi Edirne Teknoloji Geliştirme Bölgesi
http://marmarateknokent.tubitak.gov.tr/,Tübitak-Marmara Araştırma Merkezi Teknopark Teknoloji Geliştirme Bölgesi
https://www.ulutek.com.tr/,Ulutek Teknoloji Geliştirme Bölgesi
http://www.yildizteknopark.com.tr/tr/,Yıldız Teknik Üniversitesi Teknoloji Geliştirme Bölgesi
http://yyuteknokent.com.tr/,Yüzüncü Yıl Üniversitesi Teknoloji Geliştirme Bölgesi
www.zonguldakteknopark.com,Zonguldak Teknoloji Geliştirme Bölgesi 
